mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,horsepower_log,power_to_weight,displacement_per_cyl,acceleration_per_weight,origin_Europe,origin_Japan,origin_USA
18.0,8,307.0,130,3504,12.0,70,chevrolet chevelle malibu,4.867534450455582,0.0371004566210045,38.375,0.0034246575342465,False,False,True
15.0,8,350.0,165,3693,11.5,70,buick skylark 320,5.10594547390058,0.0446791226645004,43.75,0.0031139994584348,False,False,True
18.0,8,318.0,150,3436,11.0,70,plymouth satellite,5.0106352940962555,0.0436554132712456,39.75,0.0032013969732246,False,False,True
16.0,8,304.0,150,3433,12.0,70,amc rebel sst,5.0106352940962555,0.0436935624817943,38.0,0.0034954849985435,False,False,True
17.0,8,302.0,140,3449,10.5,70,ford torino,4.941642422609304,0.040591475790084,37.75,0.0030443606842563,False,False,True
15.0,8,429.0,198,4341,10.0,70,ford galaxie 500,5.288267030694535,0.045611610228058,53.625,0.0023036166781847,False,False,True
15.0,8,383.0,170,3563,10.0,70,dodge challenger se,5.135798437050262,0.0477126017401066,47.875,0.0028066236317709,False,False,True
15.0,8,400.0,150,3761,9.5,70,chevrolet monte carlo,5.0106352940962555,0.039883009837809,50.0,0.0025259239563945,False,False,True
24.0,4,113.0,95,2372,15.0,70,toyota corona mark ii,4.553876891600541,0.0400505902192242,28.25,0.0063237774030354,False,True,False
22.0,6,198.0,95,2833,15.5,70,plymouth duster,4.553876891600541,0.0335333568655135,33.0,0.0054712319096364,False,False,True
18.0,6,199.0,97,2774,15.5,70,amc hornet,4.574710978503383,0.0349675558759913,33.166666666666664,0.0055875991348233,False,False,True
21.0,6,200.0,85,2587,16.0,70,ford maverick,4.442651256490317,0.0328565906455353,33.333333333333336,0.0061847700038654,False,False,True
27.0,4,97.0,88,2130,14.5,70,datsun pl510,4.477336814478207,0.0413145539906103,24.25,0.0068075117370892,False,True,False
26.0,4,97.0,46,1835,20.5,70,volkswagen 1131 deluxe sedan,3.828641396489095,0.0250681198910081,24.25,0.0111716621253406,True,False,False
25.0,4,110.0,87,2672,17.5,70,peugeot 504,4.465908118654584,0.0325598802395209,27.5,0.0065494011976047,True,False,False
24.0,4,107.0,90,2430,14.5,70,audi 100 ls,4.499809670330265,0.037037037037037,26.75,0.0059670781893004,True,False,False
25.0,4,104.0,95,2375,17.5,70,saab 99e,4.553876891600541,0.04,26.0,0.0073684210526315,True,False,False
26.0,4,121.0,113,2234,12.5,70,bmw 2002,4.727387818712341,0.0505819158460161,30.25,0.0055953446732318,True,False,False
21.0,6,199.0,90,2648,15.0,70,amc gremlin,4.499809670330265,0.0339879154078549,33.166666666666664,0.0056646525679758,False,False,True
10.0,8,307.0,200,4376,15.0,70,chevy c20,5.298317366548036,0.0457038391224862,38.375,0.0034277879341864,False,False,True
