mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,horsepower_log
18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,4.867534450455582
15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,5.10594547390058
18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,5.0106352940962555
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,5.0106352940962555
17.0,8,302.0,140,3449,10.5,70,1,ford torino,4.941642422609304
15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,5.288267030694535
15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,5.135798437050262
15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,5.0106352940962555
24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,4.553876891600541
22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,4.553876891600541
18.0,6,199.0,97,2774,15.5,70,1,amc hornet,4.574710978503383
21.0,6,200.0,85,2587,16.0,70,1,ford maverick,4.442651256490317
27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,4.477336814478207
26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,3.828641396489095
25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,4.465908118654584
24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,4.499809670330265
25.0,4,104.0,95,2375,17.5,70,2,saab 99e,4.553876891600541
26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,4.727387818712341
21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,4.499809670330265
10.0,8,307.0,200,4376,15.0,70,1,chevy c20,5.298317366548036
11.0,8,318.0,210,4382,13.5,70,1,dodge d200,5.3471075307174685
9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,5.262690188904886
27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,4.477336814478207
28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,4.499809670330265
25.0,4,113.0,95,2228,14.0,71,3,toyota corona,4.553876891600541
19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,4.605170185988092
16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,4.653960350157523
17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,4.605170185988092
19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,4.477336814478207
18.0,6,232.0,100,3288,15.5,71,1,amc matador,4.605170185988092
14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,5.10594547390058
14.0,8,400.0,175,4464,11.5,71,1,pontiac catalina brougham,5.1647859739235145
14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,5.030437921392435
14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,5.0106352940962555
12.0,8,383.0,180,4955,11.5,71,1,dodge monaco (sw),5.19295685089021
